season,team,attempts,completions,passing_yards,passing_tds,passing_epa,sacks,sack_yards,carries,rushing_yards,rushing_tds,rushing_epa,interceptions,sack_fumbles_lost,receiving_fumbles_lost,rushing_fumbles_lost,season_type
2018,PIT,689,459,5174.0,35,135.7263588941487,24.0,166.0,345,1445.0,16,-13.144225551808946,17.0,2,4.0,2.0,REG
2018,SEA,427,280,3448.0,35,63.47602963982203,51.0,355.0,534,2560.0,15,18.738646298872215,7.0,2,0.0,2.0,REG
2018,SF,532,331,4247.0,26,5.2988406079992245,48.0,380.0,423,1902.0,7,-48.44378758701906,20.0,3,1.0,6.0,REG
2018,TB,625,408,5358.0,36,103.20116847423236,41.0,233.0,389,1523.0,11,-39.13322914140106,26.0,3,4.0,2.0,REG
2018,TEN,437,293,3255.0,16,-4.733823819085579,47.0,280.0,456,2027.0,15,-19.55181145363077,12.0,1,2.0,2.0,REG
2018,WAS,509,311,3287.0,16,-53.76612924606384,44.0,266.0,394,1673.0,9,-16.191618837786955,15.0,1,2.0,1.0,REG
2019,ARI,551,352,3827.0,20,1.4883190191839502,50.0,320.0,437,2131.0,18,-6.185082745656508,12.0,0,4.0,3.0,REG
2019,ATL,684,459,5049.0,29,46.09943419715118,50.0,335.0,360,1358.0,10,-38.40113259555722,15.0,5,1.0,2.0,REG
2019,BAL,440,289,3350.0,37,142.01622225102375,28.0,125.0,609,3320.0,21,62.84644314297765,8.0,0,1.0,5.0,REG
2019,BUF,513,299,3476.0,21,-21.34043801229715,40.0,247.0,465,2054.0,13,-19.10314528316665,12.0,3,0.0,4.0,REG
2019,CAR,633,382,4134.0,17,-61.137018797873495,58.0,484.0,397,1844.0,20,-39.0017073590533,21.0,6,1.0,4.0,REG
2019,CHI,580,371,3573.0,20,-31.36232398354183,45.0,282.0,384,1433.0,8,-55.81186459825872,12.0,2,0.0,3.0,REG
2019,CIN,616,356,3994.0,18,-66.90653780645226,48.0,342.0,385,1517.0,9,-33.52649709865493,16.0,7,5.0,0.0,REG
2019,CLE,540,319,3903.0,23,-6.34908793953827,41.0,293.0,394,1920.0,15,-22.323736012126172,21.0,2,2.0,2.0,REG
2019,DAL,597,388,4902.0,30,124.13209911247644,23.0,151.0,449,2153.0,18,12.07938532785212,11.0,2,2.0,3.0,REG
2019,DEN,504,312,3401.0,16,-29.384341548141244,41.0,286.0,409,1662.0,11,-31.397464298356848,10.0,3,2.0,1.0,REG
2019,DET,571,344,4187.0,28,19.34045446121644,43.0,287.0,401,1634.0,7,-53.730288044810884,15.0,2,2.0,3.0,REG
2019,GB,573,356,4017.0,26,57.25303021594447,36.0,284.0,405,1781.0,18,-7.889342118206025,4.0,3,3.0,2.0,REG
2019,HOU,534,355,4083.0,27,61.255143796950506,49.0,300.0,434,2009.0,17,3.717119145161469,14.0,2,1.0,4.0,REG
2019,IND,513,307,3314.0,22,-15.85366499624611,32.0,206.0,471,2130.0,17,18.83911452890358,10.0,4,2.0,2.0,REG
2019,JAX,589,364,4023.0,24,-24.979724560996935,42.0,263.0,389,1708.0,3,-28.011378181518637,8.0,7,1.0,2.0,REG
2019,KC,576,378,4690.0,30,142.38776687862816,25.0,192.0,374,1565.0,16,-20.45647144421988,5.0,2,3.0,3.0,REG
2019,LA,632,397,4669.0,22,63.29306305213851,22.0,170.0,401,1499.0,20,-61.341637144395804,17.0,4,0.0,3.0,REG
2019,LAC,597,394,4648.0,24,71.33347111954393,34.0,222.0,366,1453.0,12,-42.00675307146663,20.0,2,2.0,4.0,REG
2019,MIA,615,371,4117.0,22,-26.478259927662418,58.0,313.0,309,1049.0,11,-48.352630821012895,18.0,1,5.0,1.0,REG
2019,MIN,466,319,3729.0,26,81.15865168457881,28.0,206.0,484,2140.0,19,-29.691477789470564,8.0,3,3.0,4.0,REG
2019,NE,620,378,4153.0,25,28.88193188588582,28.0,192.0,448,1705.0,17,-29.857021995570115,9.0,1,2.0,1.0,REG
2019,NO,581,418,4431.0,36,115.11328793504342,25.0,187.0,404,1737.0,12,-29.552911771559565,6.0,0,0.0,1.0,REG
2019,NYG,607,376,4070.0,30,-48.38841088283361,43.0,339.0,362,1685.0,11,-21.407020198723778,17.0,9,2.0,4.0,REG
2019,NYJ,521,323,3443.0,19,-79.34906681477469,52.0,332.0,383,1257.0,6,-68.93840229792521,16.0,4,3.0,0.0,REG
2019,OAK,523,367,4110.0,22,100.16933469213346,29.0,184.0,433,1820.0,12,-38.09329980370542,8.0,0,2.0,4.0,REG
2019,PHI,613,391,4063.0,27,41.14855065758911,37.0,230.0,454,1939.0,16,-34.82519537933399,8.0,4,4.0,4.0,REG
2019,PIT,510,315,3214.0,18,-55.97542185582837,32.0,233.0,387,1440.0,7,-93.65111277673856,19.0,1,4.0,3.0,REG
2019,SEA,517,341,4110.0,31,84.91894486723794,48.0,319.0,482,2201.0,15,-42.18504263139741,6.0,0,6.0,7.0,REG
2019,SF,478,331,4029.0,28,86.7835586459562,36.0,237.0,498,2305.0,23,-30.169022158886072,13.0,4,1.0,3.0,REG
2019,TB,630,382,5127.0,33,42.26322932469711,47.0,282.0,409,1521.0,15,-53.932327508808854,30.0,4,3.0,3.0,REG
2019,TEN,448,297,3956.0,29,58.15724366852079,56.0,374.0,445,2223.0,21,3.0441073522870843,8.0,3,1.0,4.0,REG
2019,WAS,479,298,3205.0,18,-76.07448327153166,50.0,393.0,356,1583.0,9,-38.69765834177163,13.0,4,2.0,2.0,REG
2020,ARI,575,387,4102.0,27,24.39969958927206,29.0,186.0,479,2237.0,22,29.880742104208487,13.0,4,3.0,1.0,REG
2020,ATL,628,408,4620.0,27,70.54719305056904,41.0,257.0,409,1532.0,13,-42.032895559894484,11.0,2,2.0,3.0,REG
2020,BAL,406,257,2919.0,27,38.01054443599752,32.0,180.0,555,3071.0,24,67.87109544312156,11.0,2,0.0,5.0,REG
2020,BUF,596,410,4786.0,40,178.32124598023438,27.0,166.0,465,1895.0,17,-30.232230079342294,11.0,2,2.0,5.0,REG
2020,CAR,550,373,4129.0,16,12.114879834529823,36.0,241.0,407,1704.0,19,-8.140107134597997,16.0,2,1.0,2.0,REG
2020,CHI,614,402,3925.0,26,-7.167996568792958,36.0,270.0,393,1647.0,12,-14.061739648972276,16.0,2,3.0,0.0,REG
2020,CIN,581,372,3793.0,19,15.570270283083765,48.0,345.0,411,1668.0,13,-46.78306225516812,11.0,4,3.0,5.0,REG
2020,CLE,501,315,3701.0,27,91.34121495801105,26.0,162.0,487,2327.0,21,-6.33035579944457,8.0,3,2.0,3.0,REG
2020,DAL,639,413,4511.0,25,-13.656194747103797,44.0,350.0,430,1788.0,14,-21.19796349659146,13.0,5,3.0,5.0,REG
2020,DEN,556,317,3673.0,21,-61.92779231749521,32.0,222.0,442,1918.0,13,-37.61954037784606,23.0,3,3.0,2.0,REG
2020,DET,582,374,4397.0,27,30.694355931784358,42.0,293.0,365,1493.0,17,-32.98808319712747,13.0,1,0.0,4.0,REG
2020,GB,526,372,4299.0,48,184.19043211778282,21.0,193.0,443,2118.0,16,21.98013004385495,5.0,1,2.0,1.0,REG
2020,HOU,546,383,4843.0,33,131.67754359215277,50.0,305.0,343,1495.0,10,-16.52966496665613,7.0,2,3.0,3.0,REG
2020,IND,552,371,4186.0,24,95.34328304095702,21.0,133.0,459,1996.0,20,-18.493795084906896,11.0,1,2.0,1.0,REG
2020,JAX,616,387,3955.0,25,-38.81978962955759,44.0,256.0,337,1519.0,9,-13.287155698501659,16.0,6,1.0,1.0,REG
2020,KC,630,420,5005.0,40,198.7741460420896,24.0,151.0,419,1868.0,13,-7.256757302421537,7.0,2,5.0,1.0,REG
2020,LA,590,392,4183.0,20,21.488855432289512,25.0,169.0,473,2018.0,19,-37.192486342650945,14.0,3,2.0,3.0,REG
2020,LAC,627,413,4548.0,31,88.56761071633949,34.0,219.0,469,1797.0,12,-57.08573470340336,10.0,1,2.0,2.0,REG
2020,LV,551,369,4383.0,28,67.29345810112649,28.0,166.0,457,1916.0,20,-7.604624947761252,10.0,7,4.0,4.0,REG
2020,MIA,559,370,3937.0,24,34.92770213042736,34.0,201.0,403,1660.0,11,-30.025896058226405,13.0,1,1.0,4.0,REG
2020,MIN,516,349,4265.0,35,91.6894228925342,39.0,256.0,468,2283.0,20,6.827150240107752,13.0,4,2.0,3.0,REG
2020,NE,440,283,3124.0,12,-23.781566673060272,37.0,234.0,502,2346.0,20,30.686814093263568,14.0,1,2.0,1.0,REG
2020,NO,522,370,3945.0,28,73.82243420653593,29.0,187.0,494,2265.0,30,19.227062438173263,8.0,4,1.0,3.0,REG
2020,NYG,517,321,3336.0,12,-33.853271104375,50.0,310.0,345,1596.0,12,-11.281445740108175,11.0,5,2.0,3.0,REG
2020,NYJ,499,292,3115.0,16,-84.204955876174,43.0,319.0,384,1596.0,9,-35.80635167838981,14.0,2,2.0,1.0,REG
2020,PHI,598,334,3728.0,22,-95.47632948889657,65.0,401.0,431,2060.0,20,-10.834083819092484,20.0,3,0.0,6.0,REG
2020,PIT,656,428,4129.0,35,62.67994827584144,14.0,126.0,373,1351.0,12,-59.94189537690754,11.0,0,3.0,2.0,REG
2020,SEA,563,388,4245.0,40,78.91034611379796,48.0,304.0,411,1971.0,15,8.432180393294866,13.0,2,0.0,2.0,REG
2020,SF,570,371,4320.0,25,38.05914144777499,39.0,287.0,437,1889.0,19,-28.99872329996015,17.0,7,0.0,3.0,REG
2020,TB,626,410,4776.0,42,132.71564800044644,22.0,150.0,379,1538.0,16,-31.585261823205354,12.0,0,3.0,2.0,REG
2020,TEN,485,316,3826.0,34,125.3141282970309,25.0,173.0,521,2690.0,26,45.801717351579526,7.0,1,2.0,2.0,REG
2020,WAS,601,389,3796.0,16,-60.89405710955178,50.0,331.0,401,1616.0,18,-6.145376406584641,16.0,4,4.0,1.0,REG
2021,ARI,582,409,4583.0,27,87.41015052080816,37.0,326.0,493,2070.0,23,-3.2700611542675566,11.0,1,1.0,0.0,REG
2021,ATL,573,377,3987.0,20,-14.920218519930557,40.0,274.0,365,1347.0,11,-61.45403311040458,15.0,3,5.0,3.0,REG
2021,BAL,665,431,4637.0,24,10.72069254505497,61.0,337.0,493,2427.0,16,15.870663182125282,19.0,3,2.0,2.0,REG
2021,BUF,655,415,4450.0,36,77.85880575368647,27.0,166.0,462,2205.0,20,26.969649750684198,16.0,1,1.0,3.0,REG
